location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Shortwave Radiation
20200101T0000,-1.4897546,6.618519,135.0,0.0
20200101T0100,-1.7297546,6.1305785,130.23636,0.0
20200101T0200,-2.0697546,5.8603754,137.48955,0.0
20200101T0300,-2.3597546,6.4096174,141.84277,0.0
20200101T0400,-2.5897546,6.638072,139.3987,0.0
20200101T0500,-2.6797547,6.1305785,139.76364,0.0
20200101T0600,-2.3597546,5.8603754,137.48955,0.0
20200101T0700,-1.8997546,5.6002855,135.0,0.0
20200101T0800,-1.9197546,6.193674,144.46231,12.0
20200101T0900,-0.9697546,6.193674,144.46231,92.0
20200101T1000,-0.5697546,4.6800003,157.38013,190.0
20200101T1100,0.14024541,6.725354,164.47589,271.0
20200101T1200,0.7802454,5.506941,168.69006,310.0
20200101T1300,1.1802454,4.2136917,160.01689,287.0
20200101T1400,1.2902454,3.5455887,156.0375,218.0
20200101T1500,1.6402454,5.937272,165.96376,116.0
20200101T1600,-0.6897546,5.4477882,172.40535,19.0
20200101T1700,-1.5897547,4.1046314,164.74487,0.0
20200101T1800,-1.5197545,4.6938257,147.52881,0.0
20200101T1900,-1.4097546,4.6938257,147.52881,0.0
20200101T2000,-1.7397546,5.00128,149.74356,0.0
20200101T2100,-1.9097546,4.829907,153.43495,0.0
20200101T2200,-1.6197547,4.3349743,175.23636,0.0
20200101T2300,-1.4397546,4.73506,171.25385,0.0
20200102T0000,-1.3797545,5.2416787,164.0546,0.0
20200102T0100,-1.5597545,4.2136917,160.01689,0.0
20200102T0200,-1.6697546,3.9763298,174.80557,0.0
20200102T0300,-1.7697545,4.0249224,169.69516,0.0
20200102T0400,-1.5197545,3.7064266,150.94539,0.0
20200102T0500,-1.3997546,4.39436,145.00798,0.0
20200102T0600,-1.4497546,5.315336,151.69923,0.0
20200102T0700,-1.4297546,5.154415,155.22485,0.0
20200102T0800,-1.2097546,5.3517847,160.34618,12.0
20200102T0900,-0.5897546,5.6920996,161.56505,95.0
20200102T1000,0.5402454,5.4833565,156.8014,190.0
20200102T1100,1.3902454,7.42159,157.16635,258.0
20200102T1200,2.1202455,7.42159,157.16635,276.0
