latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.862915,12.539912,54.0,0,GMT,GMT

time,temperature_2m (°C),wind_speed_10m (m/s),shortwave_radiation (W/m²)
1577836800,0.2,1.88,0.0
1577840400,0.1,2.47,0.0
1577844000,-0.3,2.91,0.0
1577847600,0.0,2.78,0.0
1577851200,-0.2,3.00,0.0
1577854800,-0.3,2.95,0.0
1577858400,-0.5,2.47,0.0
1577862000,-0.6,2.78,3.0
1577865600,1.9,2.94,90.0
1577869200,4.7,2.64,227.0
1577872800,7.3,2.28,339.0
1577876400,9.4,2.06,407.0
1577880000,10.9,0.98,419.0
1577883600,11.7,0.82,377.0
1577887200,11.6,1.00,281.0
1577890800,9.9,1.55,150.0
1577894400,7.6,1.80,26.0
1577898000,6.5,1.40,0.0
1577901600,5.4,2.83,0.0
1577905200,4.9,2.97,0.0
1577908800,6.0,1.78,0.0
1577912400,5.3,2.16,0.0
1577916000,3.8,1.88,0.0
1577919600,2.8,2.06,0.0
1577923200,3.6,3.26,0.0
1577926800,2.9,3.61,0.0
1577930400,2.1,2.94,0.0
1577934000,1.2,2.42,0.0
1577937600,0.6,2.86,0.0
1577941200,0.4,2.88,0.0
1577944800,0.1,2.80,0.0
1577948400,0.1,2.78,3.0
1577952000,2.7,2.92,91.0
1577955600,5.7,2.28,228.0
1577959200,8.5,1.84,339.0
1577962800,10.6,1.24,404.0
1577966400,11.8,1.14,415.0
1577970000,12.8,0.80,372.0
1577973600,12.8,0.81,279.0
1577977200,10.8,1.41,150.0
1577980800,7.9,1.75,27.0
1577984400,7.9,1.36,0.0
1577988000,6.4,1.33,0.0
1577991600,5.5,1.91,0.0
1577995200,4.8,2.10,0.0
1577998800,4.5,1.93,0.0
1578002400,3.0,2.22,0.0
1578006000,3.4,2.56,0.0
1578009600,3.3,2.64,0.0
1578013200,3.3,1.97,0.0
1578016800,3.2,2.06,0.0
1578020400,3.3,2.28,0.0
1578024000,2.7,1.72,0.0
1578027600,2.9,1.92,0.0
1578031200,2.6,1.97,0.0
1578034800,2.7,2.14,3.0
1578038400,3.8,2.58,80.0
