hour,Temp_C_Trend,Wind_ms_Trend,Radiation_Wm2_Trend,T_cement,T_green,Sensor_near_cement,Sensor_near_green,T_air_end_cement,T_air_end_green,T_air_local_cement,T_air_local_green,H_mix,Rise_cement,Rise_green,Floors_affected_cement,Floors_affected_green
0,13.756978653530378,2.204926108374384,0.0,15.946315055387535,17.137721088567414,15.289514134830387,16.123498358056302,14.273888711287874,14.553654307917848,14.273888711287874,14.553654307917848,2.0203389411178807,2.756511840038396,3.1549483711107653,1.0,2.0
1,13.599781061850027,2.210224411603722,0.0,15.28610798680891,16.452829574772533,14.780209909321245,15.596915020895782,13.997955103811595,14.272147865519088,13.997955103811595,14.272147865519088,2.017915931252505,2.582581284491716,2.971424193191778,1.0,1.0
2,13.278927203065134,2.2462287903667213,0.0,14.717362681766767,15.833771064336577,14.285832038156277,15.067317905955145,13.618733229007498,13.881298040560205,13.618733229007498,13.881298040560205,2.0016782030837987,2.4687678658254937,2.8296835056699514,1.0,1.0
3,12.972523262178434,2.296102900930487,0.0,14.218145834635571,15.26993014106212,13.84445906289843,14.580708077397015,13.267004511270073,13.514596837010577,13.267004511270073,13.514596837010577,1.9798194252965793,2.3676275831834555,2.6936867942487837,1.0,1.0
4,12.73951833607006,2.3236343732895457,0.3404488232074439,13.797004075832449,14.770361740809484,13.479758353903732,14.161108719387656,12.989618367495199,13.218904346798578,12.989618367495199,13.218904346798578,1.968055577036878,2.289920732732879,2.584999333910432,1.0,1.0
5,12.946141215106731,2.363880678708265,16.430760810071156,13.750198343384831,14.496059807335744,13.508981204901401,14.03108422966704,13.135529848474865,13.311875648130822,13.135529848474865,13.311875648130822,1.9512300658302737,2.1865641560032367,2.4056912365455525,1.0,1.0
6,13.839901477832512,2.351943076081007,74.78817733990148,14.685933563474178,14.776345851236393,14.432123937781679,14.495412539215229,14.03588538097984,14.059263755274387,14.03588538097984,14.059263755274387,1.9561756632537293,2.20141730215933,2.23067149464591,1.0,1.0
7,15.375807334428025,2.401663929939792,178.8839627805145,17.059569009110593,15.872677823291568,16.554440506705824,15.723616676632505,15.764529840176193,15.488981382403056,15.764529840176193,15.488981382403056,1.9358207331091177,2.399827788810653,2.070913391769687,1.0,1.0
8,17.320525451559934,2.4357635467980296,316.99014778325125,20.980938194763255,17.8858588425747,19.882814371802258,17.71625882527027,18.170256707496936,17.44669815892255,18.170256707496936,17.44669815892255,1.9222226547603614,2.9017200934873104,2.0676637490303955,1.0,1.0
9,19.11056376573618,2.5044280240831966,449.03886152162016,25.85779403832591,20.54755505901476,23.83362495654899,20.116457671031185,20.68696207660813,19.440383495644234,20.68696207660813,19.440383495644234,1.895688507960262,3.6040220514756895,2.2531122022317116,2.0,1.0
10,20.488888888888887,2.720848385331144,545.0930487137383,30.745360649762535,23.36204259216178,27.668419121500442,22.500096481179913,22.906847910563553,21.160857558913673,22.906847910563553,21.160857558913673,1.8187335725912206,4.028369460974393,2.432807705298196,2.0,1.0
11,21.37159277504105,3.0181061850027366,593.8730158730159,34.76716998277194,25.84830959859686,30.748496820452672,24.505294551530117,24.566820783883223,22.435083394904478,24.566820783883223,22.435083394904478,1.7268475431828452,4.092820183743671,2.5143311603541,2.0,1.0
12,21.552654625068417,3.197432950191571,589.0470717022441,37.327361816453056,27.67721213870489,32.59494965903767,25.839844884613946,25.34619684883944,23.02231898857483,25.34619684883944,23.02231898857483,1.6777240558271875,4.178944772114619,2.646727360695504,2.0,1.0
13,21.631636562671044,3.3896332785987955,528.0574712643678,38.154762753375934,28.683897702056477,33.19782489616446,26.568219360240846,25.63970216001531,23.33992897794219,25.63970216001531,23.33992897794219,1.6294644777833585,3.980304091783723,2.6314244967952005,2.0,1.0
14,21.322988505747126,3.4861193212917354,448.9272030651341,37.57026005700673,28.949253246086545,32.69607859162885,26.661373823984718,25.283368169345426,23.18010686806047,25.283368169345426,23.18010686806047,1.6067567415942412,3.805127289618322,2.637626167934793,2.0,1.0
15,20.624083196496983,3.3996278051450464,338.13081554460865,35.73083542807336,28.525031863725204,31.198809758600447,26.154747263556736,24.298455591341543,22.544160339477862,24.298455591341543,22.544160339477862,1.6270674928639877,3.7768819528486226,2.7504728428655083,2.0,1.0
16,19.473399014778327,3.240864805692392,211.9967159277504,32.78525511658245,27.422378957895273,28.79169828604121,25.03768497496019,22.696421579878297,21.396111071267512,22.696421579878297,21.396111071267512,1.6664442817365064,3.7496228612187474,2.9091760621347866,2.0,1.0
17,18.206294471811717,2.9125396825396828,103.32567049808428,29.371819229954582,25.904324289552946,26.02216180251172,23.59491534423058,20.882499204434346,20.049015998849683,20.882499204434346,20.049015998849683,1.757864230600193,3.908888259271425,3.2389685102881014,2.0,2.0
18,16.981663929939792,2.59464148877942,32.476190476190474,26.019053240888105,24.212322731162853,23.307836447603613,22.043125090795932,19.13019019280867,18.697781043651794,19.13019019280867,18.697781043651794,1.862441222599507,4.047609345436631,3.6078257109098457,2.0,2.0
